"filename" "ftime" "timetext" "winddir" "windspeed" "gust10m" 0
"10Apr2002_14.tab" 11/4/2002 13:00:00 "11/12" "S" 12 1
"10Apr2002_14.tab" 11/4/2002 16:00:00 "11/15" "SSW" 10 1
"10Apr2002_14.tab" 11/4/2002 19:00:00 "11/18" "WSW" 9 1
"10Apr2002_14.tab" 11/4/2002 22:00:00 "11/21" "NW" 8 1
"10Apr2002_14.tab" 12/4/2002 01:00:00 "12/00" "NW" 14 1
"10Apr2002_14.tab" 12/4/2002 04:00:00 "12/03" "NNW" 14 1
"10Apr2002_14.tab" 12/4/2002 07:00:00 "12/06" "N" 14 1
"10Apr2002_14.tab" 12/4/2002 10:00:00 "12/09" "N" 14 1
"10Apr2002_14.tab" 12/4/2002 13:00:00 "12/12" "N" 15 1
"10Apr2002_14.tab" 12/4/2002 16:00:00 "12/15" "N" 14 1
"10Apr2002_14.tab" 12/4/2002 19:00:00 "12/18" "N" 12 1
"10Apr2002_14.tab" 12/4/2002 22:00:00 "12/21" "N" 10 1
"10Apr2002_14.tab" 13/4/2002 01:00:00 "13/00" "N" 8 1
"10Apr2002_14.tab" 13/4/2002 04:00:00 "13/03" "NNE" 8 1
"10Apr2002_14.tab" 13/4/2002 07:00:00 "13/06" "NE" 8 1
"10Apr2002_14.tab" 13/4/2002 10:00:00 "13/09" "NE" 8 1
"10Apr2002_14.tab" 13/4/2002 13:00:00 "13/12" "ENE" 7 1
"10Aug2000_11.tab" 10/8/2000 19:00:00 "10/18" "NE" 16 0
"10Aug2000_11.tab" 10/8/2000 22:00:00 "10/21" "NNE" 16 0
"10Aug2000_11.tab" 11/8/2000 01:00:00 "11/00" "NNE" 15 0
"10Aug2000_11.tab" 11/8/2000 04:00:00 "11/03" "N" 12 0
"10Aug2000_11.tab" 11/8/2000 07:00:00 "11/06" "N" 10 0
"10Aug2000_11.tab" 11/8/2000 10:00:00 "11/09" "N" 7 0
"10Aug2000_11.tab" 11/8/2000 13:00:00 "11/12" "NNW" 5 0
"10Aug2000_11.tab" 11/8/2000 16:00:00 "11/15" "NW" 3 0
"10Aug2000_11.tab" 11/8/2000 19:00:00 "11/18" "WNW" 2 0
"10Aug2000_11.tab" 11/8/2000 22:00:00 "11/21" "W" 1 0
"10Aug2000_11.tab" 12/8/2000 01:00:00 "12/00" "SW" 1 0
"10Aug2000_11.tab" 12/8/2000 04:00:00 "12/03" "SSW" 1 0
"10Aug2000_11.tab" 12/8/2000 07:00:00 "12/06" "S" 2 0
"10Aug2000_11.tab" 12/8/2000 10:00:00 "12/09" "S" 4 0
"10Aug2000_11.tab" 12/8/2000 13:00:00 "12/12" "S" 6 0
"10Aug2000_11.tab" 12/8/2000 16:00:00 "12/15" "S" 7 0
"10Aug2000_11.tab" 12/8/2000 19:00:00 "12/18" "S" 8 0
"10Aug2000_11.tab" 12/8/2000 22:00:00 "12/21" "S" 10 0
"10Aug2000_11.tab" 13/8/2000 01:00:00 "13/00" "S" 11 0
"10Aug2000_11.tab" 13/8/2000 04:00:00 "13/03" "S" 12 0
"10Aug2000_11.tab" 13/8/2000 07:00:00 "13/06" "S" 12 0
"10Aug2000_11.tab" 13/8/2000 10:00:00 "13/09" "S" 12 0
"10Aug2000_11.tab" 13/8/2000 13:00:00 "13/12" "SSE" 12 0
"10Aug2000_11.tab" 13/8/2000 16:00:00 "13/15" "SSE" 11 0
"10Aug2000_11.tab" 13/8/2000 19:00:00 "13/18" "SSE" 10 0
"10Aug2000_11.tab" 13/8/2000 22:00:00 "13/21" "SSE" 8 0
"10Aug2000_11.tab" 14/8/2000 01:00:00 "14/00" "SSE" 6 0
"10Aug2000_11.tab" 14/8/2000 04:00:00 "14/03" "SSE" 5 0
"10Aug2000_11.tab" 14/8/2000 07:00:00 "14/06" "SSE" 4 0
"10Aug2000_11.tab" 14/8/2000 10:00:00 "14/09" "SSE" 3 0
"10Aug2000_11.tab" 14/8/2000 13:00:00 "14/12" "S" 2 0
"10Aug2000_11.tab" 14/8/2000 16:00:00 "14/15" "S" 2 0
"10Aug2000_11.tab" 14/8/2000 19:00:00 "14/18" "SSE" 3 0
"10Aug2000_11.tab" 14/8/2000 22:00:00 "14/21" "SE" 4 0
"10Aug2000_11.tab" 15/8/2000 01:00:00 "15/00" "ESE" 6 0
"10Aug2000_11.tab" 15/8/2000 04:00:00 "15/03" "ESE" 8 0
"10Aug2000_11.tab" 15/8/2000 07:00:00 "15/06" "SE" 10 0
"10Aug2000_11.tab" 15/8/2000 10:00:00 "15/09" "SE" 14 0
"10Aug2000_11.tab" 15/8/2000 13:00:00 "15/12" "SE" 17 0
"10Aug2000_11.tab" 15/8/2000 16:00:00 "15/15" "SE" 17 0
"10Aug2000_11.tab" 15/8/2000 19:00:00 "15/18" "SE" 16 0
"10Aug2000_11.tab" 15/8/2000 22:00:00 "15/21" "SE" 15 0
"10Aug2000_11.tab" 16/8/2000 01:00:00 "16/00" "SE" 15 0
"10Aug2000_11.tab" 16/8/2000 04:00:00 "16/03" "SE" 14 0
"10Aug2000_11.tab" 16/8/2000 07:00:00 "16/06" "SSE" 14 0
"10Aug2000_11.tab" 16/8/2000 10:00:00 "16/09" "SSE" 15 0
"10Aug2000_11.tab" 16/8/2000 13:00:00 "16/12" "SSE" 19 0
"10Aug2000_11.tab" 16/8/2000 16:00:00 "16/15" "SSE" 17 0
"10Aug2000_11.tab" 16/8/2000 19:00:00 "16/18" "SSE" 14 0
"10Aug2000_11.tab" 16/8/2000 22:00:00 "16/21" "SSE" 12 0
"10Aug2000_11.tab" 17/8/2000 01:00:00 "17/00" "SSE" 11 0
"10Aug2000_11.tab" 17/8/2000 04:00:00 "17/03" "SSE" 10 0
"10Aug2000_11.tab" 17/8/2000 07:00:00 "17/06" "SE" 9 0
"10Aug2000_11.tab" 17/8/2000 10:00:00 "17/09" "SE" 8 0
"10Aug2000_11.tab" 17/8/2000 13:00:00 "17/12" "SE" 8 0
"10Aug2000_23.tab" 11/8/2000 07:00:00 "11/06" "N" 10 0
"10Aug2000_23.tab" 11/8/2000 10:00:00 "11/09" "N" 9 0
"10Aug2000_23.tab" 11/8/2000 13:00:00 "11/12" "NNW" 6 0
"10Aug2000_23.tab" 11/8/2000 16:00:00 "11/15" "NW" 5 0
"10Aug2000_23.tab" 11/8/2000 19:00:00 "11/18" "WNW" 3 0
"10Aug2000_23.tab" 11/8/2000 22:00:00 "11/21" "W" 2 0
"10Aug2000_23.tab" 12/8/2000 01:00:00 "12/00" "SW" 2 0
"10Aug2000_23.tab" 12/8/2000 04:00:00 "12/03" "SSW" 3 0
"10Aug2000_23.tab" 12/8/2000 07:00:00 "12/06" "S" 6 0
"10Aug2000_23.tab" 12/8/2000 10:00:00 "12/09" "S" 7 0
"10Aug2000_23.tab" 12/8/2000 13:00:00 "12/12" "S" 10 0
"10Aug2000_23.tab" 12/8/2000 16:00:00 "12/15" "S" 12 0
"10Aug2000_23.tab" 12/8/2000 19:00:00 "12/18" "S" 14 0
"10Aug2000_23.tab" 12/8/2000 22:00:00 "12/21" "S" 16 0
"10Aug2000_23.tab" 13/8/2000 01:00:00 "13/00" "S" 17 0
"10Aug2000_23.tab" 13/8/2000 04:00:00 "13/03" "S" 16 0
"10Aug2000_23.tab" 13/8/2000 07:00:00 "13/06" "S" 13 0
"10Aug2000_23.tab" 13/8/2000 10:00:00 "13/09" "S" 10 0
"10Aug2000_23.tab" 13/8/2000 13:00:00 "13/12" "SSW" 7 0
"10Aug2000_23.tab" 13/8/2000 16:00:00 "13/15" "S" 6 0
"10Aug2000_23.tab" 13/8/2000 19:00:00 "13/18" "S" 6 0
"10Aug2000_23.tab" 13/8/2000 22:00:00 "13/21" "SSE" 6 0
"10Aug2000_23.tab" 14/8/2000 01:00:00 "14/00" "SSE" 6 0
"10Aug2000_23.tab" 14/8/2000 04:00:00 "14/03" "SSE" 5 0
"10Aug2000_23.tab" 14/8/2000 07:00:00 "14/06" "SSE" 3 0
"10Aug2000_23.tab" 14/8/2000 10:00:00 "14/09" "S" 2 0
"10Aug2000_23.tab" 14/8/2000 13:00:00 "14/12" "S" 2 0
"10Aug2000_23.tab" 14/8/2000 16:00:00 "14/15" "SE" 2 0
"10Aug2000_23.tab" 14/8/2000 19:00:00 "14/18" "SE" 3 0
"10Aug2000_23.tab" 14/8/2000 22:00:00 "14/21" "ESE" 4 0
"10Aug2000_23.tab" 15/8/2000 01:00:00 "15/00" "ESE" 6 0
"10Aug2000_23.tab" 15/8/2000 04:00:00 "15/03" "ESE" 7 0
"10Aug2000_23.tab" 15/8/2000 07:00:00 "15/06" "SE" 10 0
"10Aug2000_23.tab" 15/8/2000 10:00:00 "15/09" "SE" 14 0
"10Aug2000_23.tab" 15/8/2000 13:00:00 "15/12" "SE" 17 0
"10Aug2000_23.tab" 15/8/2000 16:00:00 "15/15" "SE" 17 0
"10Aug2000_23.tab" 15/8/2000 19:00:00 "15/18" "SE" 16 0
"10Aug2000_23.tab" 15/8/2000 22:00:00 "15/21" "SE" 16 0
"10Aug2000_23.tab" 16/8/2000 01:00:00 "16/00" "SE" 15 0
"10Aug2000_23.tab" 16/8/2000 04:00:00 "16/03" "SSE" 15 0
"10Aug2000_23.tab" 16/8/2000 07:00:00 "16/06" "SSE" 16 0
"10Aug2000_23.tab" 16/8/2000 10:00:00 "16/09" "SSE" 17 0
"10Aug2000_23.tab" 16/8/2000 13:00:00 "16/12" "SSE" 19 0
"10Aug2000_23.tab" 16/8/2000 16:00:00 "16/15" "SSE" 17 0
"10Aug2000_23.tab" 16/8/2000 19:00:00 "16/18" "SSE" 14 0
"10Aug2000_23.tab" 16/8/2000 22:00:00 "16/21" "SSE" 12 0
"10Aug2000_23.tab" 17/8/2000 01:00:00 "17/00" "SSE" 11 0
"10Aug2000_23.tab" 17/8/2000 04:00:00 "17/03" "SSE" 10 0
"10Aug2000_23.tab" 17/8/2000 07:00:00 "17/06" "SE" 10 0
"10Aug2000_23.tab" 17/8/2000 10:00:00 "17/09" "SE" 9 0
"10Aug2000_23.tab" 17/8/2000 13:00:00 "17/12" "SE" 8 0
"10Aug2000_23.tab" 17/8/2000 16:00:00 "17/15" "SE" 7 0
"10Aug2000_23.tab" 17/8/2000 19:00:00 "17/18" "SE" 7 0
"10Aug2000_23.tab" 17/8/2000 22:00:00 "17/21" "SE" 7 0
"10Aug2000_23.tab" 18/8/2000 01:00:00 "18/00" "SE" 6 0
"10Aug2001_13.tab" 10/8/2001 19:00:00 "10/18" "WNW" 11 1
"10Aug2001_13.tab" 10/8/2001 22:00:00 "10/21" "W" 8 1
"10Aug2001_13.tab" 11/8/2001 01:00:00 "11/00" "W" 7 1
"10Aug2001_13.tab" 11/8/2001 04:00:00 "11/03" "SW" 7 1
"10Aug2001_13.tab" 11/8/2001 07:00:00 "11/06" "SW" 7 1
"10Aug2001_13.tab" 11/8/2001 10:00:00 "11/09" "SSW" 10 1
"10Aug2001_13.tab" 11/8/2001 13:00:00 "11/12" "S" 14 1
"10Aug2001_13.tab" 11/8/2001 16:00:00 "11/15" "S" 20 1
"10Aug2001_13.tab" 11/8/2001 19:00:00 "11/18" "S" 22 1
"10Aug2001_13.tab" 11/8/2001 22:00:00 "11/21" "S" 24 1
"10Aug2001_13.tab" 12/8/2001 01:00:00 "12/00" "S" 28 1
"10Aug2001_13.tab" 12/8/2001 04:00:00 "12/03" "S" 28 1
"10Aug2001_13.tab" 12/8/2001 07:00:00 "12/06" "SW" 27 1
"10Aug2001_13.tab" 12/8/2001 10:00:00 "12/09" "WSW" 26 1
"10Aug2001_13.tab" 12/8/2001 13:00:00 "12/12" "WSW" 25 1
"10Aug2001_13.tab" 12/8/2001 16:00:00 "12/15" "WSW" 25 1
"10Aug2001_13.tab" 12/8/2001 19:00:00 "12/18" "WSW" 24 1
"10Aug2001_13.tab" 12/8/2001 22:00:00 "12/21" "SW" 23 1
"10Aug2001_13.tab" 13/8/2001 01:00:00 "13/00" "SW" 21 1
"10Aug2001_13.tab" 13/8/2001 04:00:00 "13/03" "SW" 19 1
"10Aug2001_13.tab" 13/8/2001 07:00:00 "13/06" "SSW" 19 1
"10Aug2001_13.tab" 13/8/2001 10:00:00 "13/09" "SSW" 20 1
"10Aug2001_13.tab" 13/8/2001 13:00:00 "13/12" "SSW" 21 1
"10Dec2001_02.tab" 10/12/2001 06:00:00 "10/06" "SW" 12 1
"10Dec2001_02.tab" 10/12/2001 09:00:00 "10/09" "SW" 12 1
"10Dec2001_02.tab" 10/12/2001 12:00:00 "10/12" "SW" 10 1
"10Dec2001_02.tab" 10/12/2001 15:00:00 "10/15" "SW" 9 1
"10Dec2001_02.tab" 10/12/2001 18:00:00 "10/18" "SW" 9 1
"10Dec2001_02.tab" 10/12/2001 21:00:00 "10/21" "SW" 9 1
"10Dec2001_02.tab" 11/12/2001 00:00:00 "11/00" "SW" 9 1
"10Dec2001_02.tab" 11/12/2001 03:00:00 "11/03" "SW" 9 1
"10Dec2001_02.tab" 11/12/2001 06:00:00 "11/06" "SW" 9 1
"10Dec2001_02.tab" 11/12/2001 09:00:00 "11/09" "SW" 9 1
"10Dec2001_02.tab" 11/12/2001 12:00:00 "11/12" "SW" 9 1
"10Dec2001_02.tab" 11/12/2001 15:00:00 "11/15" "SW" 10 1
"10Dec2001_02.tab" 11/12/2001 18:00:00 "11/18" "SW" 10 1
"10Dec2001_02.tab" 11/12/2001 21:00:00 "11/21" "SW" 10 1
"10Dec2001_02.tab" 12/12/2001 00:00:00 "12/00" "SW" 11 1
"10Dec2001_02.tab" 12/12/2001 03:00:00 "12/03" "WSW" 12 1
"10Dec2001_02.tab" 12/12/2001 06:00:00 "12/06" "WSW" 12 1
"10Dec2001_02.tab" 12/12/2001 09:00:00 "12/09" "WSW" 12 1
"10Dec2001_02.tab" 12/12/2001 12:00:00 "12/12" "WSW" 12 1
"10Dec2001_02.tab" 12/12/2001 15:00:00 "12/15" "W" 14 1
"10Dec2001_02.tab" 12/12/2001 18:00:00 "12/18" "W" 14 1
"10Dec2001_02.tab" 12/12/2001 21:00:00 "12/21" "W" 14 1
"10Dec2001_02.tab" 13/12/2001 00:00:00 "13/00" "W" 14 1
"10Dec2001_13.tab" 10/12/2001 18:00:00 "10/18" "SW" 6 1
"10Dec2001_13.tab" 10/12/2001 21:00:00 "10/21" "SW" 6 1
"10Dec2001_13.tab" 11/12/2001 00:00:00 "11/00" "SW" 7 1
"10Dec2001_13.tab" 11/12/2001 03:00:00 "11/03" "SW" 7 1
"10Dec2001_13.tab" 11/12/2001 06:00:00 "11/06" "WSW" 5 1
"10Dec2001_13.tab" 11/12/2001 09:00:00 "11/09" "SW" 5 1
"10Dec2001_13.tab" 11/12/2001 12:00:00 "11/12" "SW" 6 1
"10Dec2001_13.tab" 11/12/2001 15:00:00 "11/15" "SW" 6 1
"10Dec2001_13.tab" 11/12/2001 18:00:00 "11/18" "SW" 6 1
"10Dec2001_13.tab" 11/12/2001 21:00:00 "11/21" "SW" 7 1
"10Dec2001_13.tab" 12/12/2001 00:00:00 "12/00" "WSW" 7 1
"10Dec2001_13.tab" 12/12/2001 03:00:00 "12/03" "WSW" 8 1
"10Dec2001_13.tab" 12/12/2001 06:00:00 "12/06" "WSW" 8 1
"10Dec2001_13.tab" 12/12/2001 09:00:00 "12/09" "WSW" 9 1
"10Dec2001_13.tab" 12/12/2001 12:00:00 "12/12" "W" 9 1
"10Dec2001_13.tab" 12/12/2001 15:00:00 "12/15" "W" 9 1
"10Dec2001_13.tab" 12/12/2001 18:00:00 "12/18" "W" 8 1
"10Dec2001_13.tab" 12/12/2001 21:00:00 "12/21" "W" 8 1
"10Dec2001_13.tab" 13/12/2001 00:00:00 "13/00" "WNW" 7 1
"10Dec2001_13.tab" 13/12/2001 03:00:00 "13/03" "WNW" 7 1
"10Dec2001_13.tab" 13/12/2001 06:00:00 "13/06" "WNW" 6 1
"10Dec2001_13.tab" 13/12/2001 09:00:00 "13/09" "NW" 4 1
"10Dec2001_13.tab" 13/12/2001 12:00:00 "13/12" "NNW" 3 1
"10Feb2002_04.tab" 10/2/2002 06:00:00 "10/06" "WNW" 24 1
"10Feb2002_04.tab" 10/2/2002 09:00:00 "10/09" "NW" 24 1
"10Feb2002_04.tab" 10/2/2002 12:00:00 "10/12" "NW" 25 1
"10Feb2002_04.tab" 10/2/2002 15:00:00 "10/15" "WNW" 22 1
"10Feb2002_04.tab" 10/2/2002 18:00:00 "10/18" "WNW" 21 1
"10Feb2002_04.tab" 10/2/2002 21:00:00 "10/21" "W" 20 1
"10Feb2002_04.tab" 11/2/2002 00:00:00 "11/00" "W" 20 1
"10Feb2002_04.tab" 11/2/2002 03:00:00 "11/03" "WSW" 17 1
"10Feb2002_04.tab" 11/2/2002 06:00:00 "11/06" "WSW" 12 1
"10Feb2002_04.tab" 11/2/2002 09:00:00 "11/09" "W" 10 1
"10Feb2002_04.tab" 11/2/2002 12:00:00 "11/12" "WNW" 10 1
"10Feb2002_04.tab" 11/2/2002 15:00:00 "11/15" "NW" 9 1
"10Feb2002_04.tab" 11/2/2002 18:00:00 "11/18" "NNW" 9 1
"10Feb2002_04.tab" 11/2/2002 21:00:00 "11/21" "N" 11 1
"10Feb2002_04.tab" 12/2/2002 00:00:00 "12/00" "N" 14 1
"10Feb2002_04.tab" 12/2/2002 03:00:00 "12/03" "N" 15 1
"10Feb2002_04.tab" 12/2/2002 06:00:00 "12/06" "N" 15 1
"10Feb2002_04.tab" 12/2/2002 09:00:00 "12/09" "NNE" 15 1
"10Feb2002_04.tab" 12/2/2002 12:00:00 "12/12" "NNE" 16 1
"10Feb2002_04.tab" 12/2/2002 15:00:00 "12/15" "NNE" 16 1
"10Feb2002_04.tab" 12/2/2002 18:00:00 "12/18" "NE" 15 1
"10Feb2002_04.tab" 12/2/2002 21:00:00 "12/21" "NE" 14 1
"10Feb2002_04.tab" 13/2/2002 00:00:00 "13/00" "NE" 14 1
"10Feb2002_13.tab" 10/2/2002 18:00:00 "10/18" "NW" 11 1
"10Feb2002_13.tab" 10/2/2002 21:00:00 "10/21" "NW" 9 1
"10Feb2002_13.tab" 11/2/2002 00:00:00 "11/00" "W" 7 1
"10Feb2002_13.tab" 11/2/2002 03:00:00 "11/03" "WSW" 2 1
"10Feb2002_13.tab" 11/2/2002 06:00:00 "11/06" "S" 7 1
"10Feb2002_13.tab" 11/2/2002 09:00:00 "11/09" "N" 2 1
"10Feb2002_13.tab" 11/2/2002 12:00:00 "11/12" "NNE" 6 1
"10Feb2002_13.tab" 11/2/2002 15:00:00 "11/15" "NNE" 7 1
"10Feb2002_13.tab" 11/2/2002 18:00:00 "11/18" "N" 9 1
"10Feb2002_13.tab" 11/2/2002 21:00:00 "11/21" "N" 10 1
"10Feb2002_13.tab" 12/2/2002 00:00:00 "12/00" "N" 11 1
"10Feb2002_13.tab" 12/2/2002 03:00:00 "12/03" "N" 12 1
"10Feb2002_13.tab" 12/2/2002 06:00:00 "12/06" "NNE" 14 1
"10Feb2002_13.tab" 12/2/2002 09:00:00 "12/09" "NE" 16 1
"10Feb2002_13.tab" 12/2/2002 12:00:00 "12/12" "NE" 13 1
"10Feb2002_13.tab" 12/2/2002 15:00:00 "12/15" "ENE" 14 1
"10Feb2002_13.tab" 12/2/2002 18:00:00 "12/18" "ENE" 15 1
"10Feb2002_13.tab" 12/2/2002 21:00:00 "12/21" "ENE" 16 1
"10Feb2002_13.tab" 13/2/2002 00:00:00 "13/00" "ENE" 17 1
"10Feb2002_13.tab" 13/2/2002 03:00:00 "13/03" "NE" 17 1
"10Feb2002_13.tab" 13/2/2002 06:00:00 "13/06" "NE" 17 1
"10Feb2002_13.tab" 13/2/2002 09:00:00 "13/09" "NE" 18 1
"10Feb2002_13.tab" 13/2/2002 12:00:00 "13/12" "NE" 19 1
"10Jan2001_02.tab" 10/1/2001 06:00:00 "10/06" "NNW" 16 1
"10Jan2001_02.tab" 10/1/2001 09:00:00 "10/09" "NNW" 16 1
"10Jan2001_02.tab" 10/1/2001 12:00:00 "10/12" "NNW" 16 1
"10Jan2001_02.tab" 10/1/2001 15:00:00 "10/15" "NW" 14 1
"10Jan2001_02.tab" 10/1/2001 18:00:00 "10/18" "NW" 12 1
"10Jan2001_02.tab" 10/1/2001 21:00:00 "10/21" "NW" 16 1
"10Jan2001_02.tab" 11/1/2001 00:00:00 "11/00" "NW" 18 1
"10Jan2001_02.tab" 11/1/2001 03:00:00 "11/03" "NW" 18 1
"10Jan2001_02.tab" 11/1/2001 06:00:00 "11/06" "NW" 18 1
"10Jan2001_02.tab" 11/1/2001 09:00:00 "11/09" "NW" 18 1
"10Jan2001_02.tab" 11/1/2001 12:00:00 "11/12" "NW" 18 1
"10Jan2001_02.tab" 11/1/2001 15:00:00 "11/15" "NW" 18 1
"10Jan2001_02.tab" 11/1/2001 18:00:00 "11/18" "NW" 16 1
"10Jan2001_02.tab" 11/1/2001 21:00:00 "11/21" "NW" 14 1
"10Jan2001_02.tab" 12/1/2001 00:00:00 "12/00" "NW" 12 1
"10Jan2001_02.tab" 12/1/2001 03:00:00 "12/03" "WNW" 12 1
"10Jan2001_02.tab" 12/1/2001 06:00:00 "12/06" "W" 10 1
"10Jan2001_02.tab" 12/1/2001 09:00:00 "12/09" "WSW" 12 1
"10Jan2001_02.tab" 12/1/2001 12:00:00 "12/12" "SW" 14 1
"10Jan2001_02.tab" 12/1/2001 15:00:00 "12/15" "SW" 16 1
"10Jan2001_02.tab" 12/1/2001 18:00:00 "12/18" "SW" 18 1
"10Jan2001_02.tab" 12/1/2001 21:00:00 "12/21" "SW" 20 1
